DEB [20230723-19:30:00.151] thr=1   paramiko.transport: starting thread (client mode): 0x88962e90
DEB [20230723-19:30:00.152] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230723-19:30:00.152] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.0
INF [20230723-19:30:00.152] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.0)
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: client lang: <none>
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: server lang: <none>
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: kex follows: False
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: Compression: none
DEB [20230723-19:30:00.158] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230723-19:30:00.211] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230723-19:30:00.211] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230723-19:30:00.211] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [162.14.100.125]:10022: b'c16893970dd704773b3be5bd9f7e3126'
DEB [20230723-19:30:00.212] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:30:00.301] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:30:00.306] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:30:00.306] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:30:00.306] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:30:00.306] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:30:00.306] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:30:00.323] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:30:00.329] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:30:00.342] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230723-19:30:00.396] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230723-19:30:00.396] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230723-19:30:02.830] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230723-19:30:02.835] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230723-19:30:02.835] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230723-19:30:02.840] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230723-19:30:02.841] thr=1   paramiko.transport: EOF in transport thread
DEB [20230723-19:30:02.848] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230723-19:30:02.848] thr=2   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230723-19:31:21.299] thr=1   paramiko.transport: starting thread (client mode): 0x3d442ef0
DEB [20230723-19:31:21.299] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230723-19:31:21.310] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.0
INF [20230723-19:31:21.310] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.0)
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: client lang: <none>
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: server lang: <none>
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: kex follows: False
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: Compression: none
DEB [20230723-19:31:21.317] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230723-19:31:21.329] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230723-19:31:21.329] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230723-19:31:21.329] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [162.14.100.125]:10022: b'c16893970dd704773b3be5bd9f7e3126'
DEB [20230723-19:31:21.329] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'publickey-hostbound@openssh.com': b'0'}
DEB [20230723-19:31:21.421] thr=2   paramiko.transport: Trying discovered key b'82c74a4d7addae8bc3f5e2360bc4ea32' in C:\Users\zhaoc/.ssh/id_rsa
DEB [20230723-19:31:21.426] thr=1   paramiko.transport: userauth is OK
DEB [20230723-19:31:21.426] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230723-19:31:21.426] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20230723-19:31:21.426] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com']
DEB [20230723-19:31:21.426] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20230723-19:31:21.444] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20230723-19:31:21.449] thr=1   paramiko.transport: userauth is OK
INF [20230723-19:31:21.465] thr=1   paramiko.transport: Authentication (password) successful!
